city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Nago,71,JP,1623714162,79,26.5881,127.9761,78.96,9.86
Humaitá,44,BR,1623714163,56,-7.5061,-63.0208,81.93,1.12
Palmer,90,US,1623714163,81,42.1584,-72.3287,67.32,0.0
Luchegorsk,12,RU,1623714163,78,46.4764,134.2569,67.62,5.86
Gurupá,93,BR,1623714164,97,-1.405,-51.64,73.31,1.88
Inírida,64,CO,1623714164,97,3.8653,-67.9239,73.36,2.04
Talara,90,PE,1623714031,83,-4.5772,-81.2719,70.56,10.36
Huanren,100,CN,1623714165,98,41.2647,125.3667,64.94,3.27
Kiama,75,AU,1623714165,77,-34.6833,150.8667,59.25,3.4
Inhambane,0,MZ,1623714165,75,-23.865,35.3833,64.63,2.48
